"REF_DATE","GEO","DGUID","Age of mother","Marital status of mother","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, 25 to 29 years","Marital status of mother, separated","Number of live births","Number","223","units","0","v21401393","1.5.6.1","349","","","","0"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, 25 to 29 years","Marital status of mother, separated","Percentage of live births","Percentage","242","units","0","v21401394","1.5.6.2","0.3","","","","1"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, 25 to 29 years","Marital status of mother, not stated","Number of live births","Number","223","units","0","v21401395","1.5.7.1","11615","","","","0"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, 25 to 29 years","Marital status of mother, not stated","Percentage of live births","Percentage","242","units","0","v21401396","1.5.7.2","10.0","","","","1"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, 30 to 34 years","Total, marital status of mother","Number of live births","Number","223","units","0","v21401397","1.6.1.1","118775","","","","0"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, 30 to 34 years","Total, marital status of mother","Percentage of live births","Percentage","242","units","0","v21401398","1.6.1.2","100.0","","","","1"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, 30 to 34 years","Marital status of mother, single (never married)","Number of live births","Number","223","units","0","v21401399","1.6.2.1","22154","","","","0"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, 30 to 34 years","Marital status of mother, single (never married)","Percentage of live births","Percentage","242","units","0","v21401400","1.6.2.2","18.7","","","","1"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, 30 to 34 years","Marital status of mother, married","Number of live births","Number","223","units","0","v21401401","1.6.3.1","87085","","","","0"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, 30 to 34 years","Marital status of mother, married","Percentage of live births","Percentage","242","units","0","v21401402","1.6.3.2","73.3","","","","1"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, 30 to 34 years","Marital status of mother, widowed","Number of live births","Number","223","units","0","v21401403","1.6.4.1","69","","","","0"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, 30 to 34 years","Marital status of mother, widowed","Percentage of live births","Percentage","242","units","0","v21401404","1.6.4.2","0.1","","","","1"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, 30 to 34 years","Marital status of mother, divorced","Number of live births","Number","223","units","0","v21401405","1.6.5.1","1291","","","","0"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, 30 to 34 years","Marital status of mother, divorced","Percentage of live births","Percentage","242","units","0","v21401406","1.6.5.2","1.1","","","","1"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, 30 to 34 years","Marital status of mother, separated","Number of live births","Number","223","units","0","v21401407","1.6.6.1","438","","","","0"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, 30 to 34 years","Marital status of mother, separated","Percentage of live births","Percentage","242","units","0","v21401408","1.6.6.2","0.4","","","","1"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, 30 to 34 years","Marital status of mother, not stated","Number of live births","Number","223","units","0","v21401409","1.6.7.1","7738","","","","0"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, 30 to 34 years","Marital status of mother, not stated","Percentage of live births","Percentage","242","units","0","v21401410","1.6.7.2","6.5","","","","1"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, 35 to 39 years","Total, marital status of mother","Number of live births","Number","223","units","0","v21401411","1.7.1.1","57316","","","","0"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, 35 to 39 years","Total, marital status of mother","Percentage of live births","Percentage","242","units","0","v21401412","1.7.1.2","100.0","","","","1"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, 35 to 39 years","Marital status of mother, single (never married)","Number of live births","Number","223","units","0","v21401413","1.7.2.1","7855","","","","0"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, 35 to 39 years","Marital status of mother, single (never married)","Percentage of live births","Percentage","242","units","0","v21401414","1.7.2.2","13.7","","","","1"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, 35 to 39 years","Marital status of mother, married","Number of live births","Number","223","units","0","v21401415","1.7.3.1","43731","","","","0"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, 35 to 39 years","Marital status of mother, married","Percentage of live births","Percentage","242","units","0","v21401416","1.7.3.2","76.3","","","","1"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, 35 to 39 years","Marital status of mother, widowed","Number of live births","Number","223","units","0","v21401417","1.7.4.1","70","","","","0"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, 35 to 39 years","Marital status of mother, widowed","Percentage of live births","Percentage","242","units","0","v21401418","1.7.4.2","0.1","","","","1"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, 35 to 39 years","Marital status of mother, divorced","Number of live births","Number","223","units","0","v21401419","1.7.5.1","1153","","","","0"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, 35 to 39 years","Marital status of mother, divorced","Percentage of live births","Percentage","242","units","0","v21401420","1.7.5.2","2.0","","","","1"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, 35 to 39 years","Marital status of mother, separated","Number of live births","Number","223","units","0","v21401421","1.7.6.1","263","","","","0"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, 35 to 39 years","Marital status of mother, separated","Percentage of live births","Percentage","242","units","0","v21401422","1.7.6.2","0.5","","","","1"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, 35 to 39 years","Marital status of mother, not stated","Number of live births","Number","223","units","0","v21401423","1.7.7.1","4244","","","","0"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, 35 to 39 years","Marital status of mother, not stated","Percentage of live births","Percentage","242","units","0","v21401424","1.7.7.2","7.4","","","","1"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, 40 to 44 years","Total, marital status of mother","Number of live births","Number","223","units","0","v21401425","1.8.1.1","10705","","","","0"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, 40 to 44 years","Total, marital status of mother","Percentage of live births","Percentage","242","units","0","v21401426","1.8.1.2","100.0","","","","1"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, 40 to 44 years","Marital status of mother, single (never married)","Number of live births","Number","223","units","0","v21401427","1.8.2.1","1457","","","","0"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, 40 to 44 years","Marital status of mother, single (never married)","Percentage of live births","Percentage","242","units","0","v21401428","1.8.2.2","13.6","","","","1"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, 40 to 44 years","Marital status of mother, married","Number of live births","Number","223","units","0","v21401429","1.8.3.1","7767","","","","0"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, 40 to 44 years","Marital status of mother, married","Percentage of live births","Percentage","242","units","0","v21401430","1.8.3.2","72.6","","","","1"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, 40 to 44 years","Marital status of mother, widowed","Number of live births","Number","223","units","0","v21401431","1.8.4.1","22","","","","0"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, 40 to 44 years","Marital status of mother, widowed","Percentage of live births","Percentage","242","units","0","v21401432","1.8.4.2","0.2","","","","1"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, 40 to 44 years","Marital status of mother, divorced","Number of live births","Number","223","units","0","v21401433","1.8.5.1","333","","","","0"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, 40 to 44 years","Marital status of mother, divorced","Percentage of live births","Percentage","242","units","0","v21401434","1.8.5.2","3.1","","","","1"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, 40 to 44 years","Marital status of mother, separated","Number of live births","Number","223","units","0","v21401435","1.8.6.1","69","","","","0"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, 40 to 44 years","Marital status of mother, separated","Percentage of live births","Percentage","242","units","0","v21401436","1.8.6.2","0.6","","","","1"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, 40 to 44 years","Marital status of mother, not stated","Number of live births","Number","223","units","0","v21401437","1.8.7.1","1057","","","","0"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, 40 to 44 years","Marital status of mother, not stated","Percentage of live births","Percentage","242","units","0","v21401438","1.8.7.2","9.9","","","","1"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, 45 to 49 years","Total, marital status of mother","Number of live births","Number","223","units","0","v21401439","1.9.1.1","559","","","","0"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, 45 to 49 years","Total, marital status of mother","Percentage of live births","Percentage","242","units","0","v21401440","1.9.1.2","100.0","","","","1"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, 45 to 49 years","Marital status of mother, single (never married)","Number of live births","Number","223","units","0","v21401441","1.9.2.1","73","","","","0"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, 45 to 49 years","Marital status of mother, single (never married)","Percentage of live births","Percentage","242","units","0","v21401442","1.9.2.2","13.1","","","","1"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, 45 to 49 years","Marital status of mother, married","Number of live births","Number","223","units","0","v21401443","1.9.3.1","420","","","","0"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, 45 to 49 years","Marital status of mother, married","Percentage of live births","Percentage","242","units","0","v21401444","1.9.3.2","75.1","","","","1"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, 45 to 49 years","Marital status of mother, widowed","Number of live births","Number","223","units","0","v21401445","1.9.4.1","0","","","","0"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, 45 to 49 years","Marital status of mother, widowed","Percentage of live births","Percentage","242","units","0","v21401446","1.9.4.2","0.0","","","","1"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, 45 to 49 years","Marital status of mother, divorced","Number of live births","Number","223","units","0","v21401447","1.9.5.1","22","","","","0"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, 45 to 49 years","Marital status of mother, divorced","Percentage of live births","Percentage","242","units","0","v21401448","1.9.5.2","3.9","","","","1"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, 45 to 49 years","Marital status of mother, separated","Number of live births","Number","223","units","0","v21401449","1.9.6.1","3","","","","0"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, 45 to 49 years","Marital status of mother, separated","Percentage of live births","Percentage","242","units","0","v21401450","1.9.6.2","0.5","","","","1"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, 45 to 49 years","Marital status of mother, not stated","Number of live births","Number","223","units","0","v21401451","1.9.7.1","41","","","","0"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, 45 to 49 years","Marital status of mother, not stated","Percentage of live births","Percentage","242","units","0","v21401452","1.9.7.2","7.3","","","","1"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, not stated","Total, marital status of mother","Number of live births","Number","223","units","0","v21401453","1.10.1.1","62","","","","0"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, not stated","Total, marital status of mother","Percentage of live births","Percentage","242","units","0","v21401454","1.10.1.2","100.0","","","","1"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, not stated","Marital status of mother, single (never married)","Number of live births","Number","223","units","0","v21401455","1.10.2.1","9","","","","0"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, not stated","Marital status of mother, single (never married)","Percentage of live births","Percentage","242","units","0","v21401456","1.10.2.2","14.5","","","","1"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, not stated","Marital status of mother, married","Number of live births","Number","223","units","0","v21401457","1.10.3.1","32","","","","0"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, not stated","Marital status of mother, married","Percentage of live births","Percentage","242","units","0","v21401458","1.10.3.2","51.6","","","","1"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, not stated","Marital status of mother, widowed","Number of live births","Number","223","units","0","v21401459","1.10.4.1","0","","","","0"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, not stated","Marital status of mother, widowed","Percentage of live births","Percentage","242","units","0","v21401460","1.10.4.2","0.0","","","","1"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, not stated","Marital status of mother, divorced","Number of live births","Number","223","units","0","v21401461","1.10.5.1","2","","","","0"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, not stated","Marital status of mother, divorced","Percentage of live births","Percentage","242","units","0","v21401462","1.10.5.2","3.2","","","","1"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, not stated","Marital status of mother, separated","Number of live births","Number","223","units","0","v21401463","1.10.6.1","0","","","","0"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, not stated","Marital status of mother, separated","Percentage of live births","Percentage","242","units","0","v21401464","1.10.6.2","0.0","","","","1"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, not stated","Marital status of mother, not stated","Number of live births","Number","223","units","0","v21401465","1.10.7.1","19","","","","0"
"2008","Canada, place of residence of mother","2016A000011124","Age of mother, not stated","Marital status of mother, not stated","Percentage of live births","Percentage","242","units","0","v21401466","1.10.7.2","30.6","","","","1"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, all ages","Total, marital status of mother","Number of live births","Number","223","units","0","v21401327","1.1.1.1","380863","","","","0"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, all ages","Total, marital status of mother","Percentage of live births","Percentage","242","units","0","v21401328","1.1.1.2","100.0","","","","1"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, all ages","Marital status of mother, single (never married)","Number of live births","Number","223","units","0","v21401329","1.1.2.1","103693","","","","0"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, all ages","Marital status of mother, single (never married)","Percentage of live births","Percentage","242","units","0","v21401330","1.1.2.2","27.2","","","","1"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, all ages","Marital status of mother, married","Number of live births","Number","223","units","0","v21401331","1.1.3.1","228917","","","","0"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, all ages","Marital status of mother, married","Percentage of live births","Percentage","242","units","0","v21401332","1.1.3.2","60.1","","","","1"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, all ages","Marital status of mother, widowed","Number of live births","Number","223","units","0","v21401333","1.1.4.1","168","","","","0"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, all ages","Marital status of mother, widowed","Percentage of live births","Percentage","242","units","0","v21401334","1.1.4.2","0.0","","","","1"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, all ages","Marital status of mother, divorced","Number of live births","Number","223","units","0","v21401335","1.1.5.1","3551","","","","0"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, all ages","Marital status of mother, divorced","Percentage of live births","Percentage","242","units","0","v21401336","1.1.5.2","0.9","","","","1"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, all ages","Marital status of mother, separated","Number of live births","Number","223","units","0","v21401337","1.1.6.1","1352","","","","0"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, all ages","Marital status of mother, separated","Percentage of live births","Percentage","242","units","0","v21401338","1.1.6.2","0.4","","","","1"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, all ages","Marital status of mother, not stated","Number of live births","Number","223","units","0","v21401339","1.1.7.1","43182","","","","0"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, all ages","Marital status of mother, not stated","Percentage of live births","Percentage","242","units","0","v21401340","1.1.7.2","11.3","","","","1"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, under 15 years","Total, marital status of mother","Number of live births","Number","223","units","0","v21401341","1.2.1.1","104","","","","0"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, under 15 years","Total, marital status of mother","Percentage of live births","Percentage","242","units","0","v21401342","1.2.1.2","100.0","","","","1"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, under 15 years","Marital status of mother, single (never married)","Number of live births","Number","223","units","0","v21401343","1.2.2.1","84","","","","0"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, under 15 years","Marital status of mother, single (never married)","Percentage of live births","Percentage","242","units","0","v21401344","1.2.2.2","80.8","","","","1"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, under 15 years","Marital status of mother, married","Number of live births","Number","223","units","0","v21401345","1.2.3.1","3","","","","0"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, under 15 years","Marital status of mother, married","Percentage of live births","Percentage","242","units","0","v21401346","1.2.3.2","2.9","","","","1"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, under 15 years","Marital status of mother, widowed","Number of live births","Number","223","units","0","v21401347","1.2.4.1","0","","","","0"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, under 15 years","Marital status of mother, widowed","Percentage of live births","Percentage","242","units","0","v21401348","1.2.4.2","0.0","","","","1"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, under 15 years","Marital status of mother, divorced","Number of live births","Number","223","units","0","v21401349","1.2.5.1","0","","","","0"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, under 15 years","Marital status of mother, divorced","Percentage of live births","Percentage","242","units","0","v21401350","1.2.5.2","0.0","","","","1"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, under 15 years","Marital status of mother, separated","Number of live births","Number","223","units","0","v21401351","1.2.6.1","0","","","","0"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, under 15 years","Marital status of mother, separated","Percentage of live births","Percentage","242","units","0","v21401352","1.2.6.2","0.0","","","","1"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, under 15 years","Marital status of mother, not stated","Number of live births","Number","223","units","0","v21401353","1.2.7.1","17","","","","0"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, under 15 years","Marital status of mother, not stated","Percentage of live births","Percentage","242","units","0","v21401354","1.2.7.2","16.3","","","","1"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, 15 to 19 years","Total, marital status of mother","Number of live births","Number","223","units","0","v21401355","1.3.1.1","15534","","","","0"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, 15 to 19 years","Total, marital status of mother","Percentage of live births","Percentage","242","units","0","v21401356","1.3.1.2","100.0","","","","1"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, 15 to 19 years","Marital status of mother, single (never married)","Number of live births","Number","223","units","0","v21401357","1.3.2.1","10365","","","","0"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, 15 to 19 years","Marital status of mother, single (never married)","Percentage of live births","Percentage","242","units","0","v21401358","1.3.2.2","66.7","","","","1"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, 15 to 19 years","Marital status of mother, married","Number of live births","Number","223","units","0","v21401359","1.3.3.1","925","","","","0"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, 15 to 19 years","Marital status of mother, married","Percentage of live births","Percentage","242","units","0","v21401360","1.3.3.2","6.0","","","","1"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, 15 to 19 years","Marital status of mother, widowed","Number of live births","Number","223","units","0","v21401361","1.3.4.1","0","","","","0"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, 15 to 19 years","Marital status of mother, widowed","Percentage of live births","Percentage","242","units","0","v21401362","1.3.4.2","0.0","","","","1"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, 15 to 19 years","Marital status of mother, divorced","Number of live births","Number","223","units","0","v21401363","1.3.5.1","6","","","","0"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, 15 to 19 years","Marital status of mother, divorced","Percentage of live births","Percentage","242","units","0","v21401364","1.3.5.2","0.0","","","","1"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, 15 to 19 years","Marital status of mother, separated","Number of live births","Number","223","units","0","v21401365","1.3.6.1","23","","","","0"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, 15 to 19 years","Marital status of mother, separated","Percentage of live births","Percentage","242","units","0","v21401366","1.3.6.2","0.1","","","","1"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, 15 to 19 years","Marital status of mother, not stated","Number of live births","Number","223","units","0","v21401367","1.3.7.1","4215","","","","0"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, 15 to 19 years","Marital status of mother, not stated","Percentage of live births","Percentage","242","units","0","v21401368","1.3.7.2","27.1","","","","1"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, 20 to 24 years","Total, marital status of mother","Number of live births","Number","223","units","0","v21401369","1.4.1.1","57778","","","","0"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, 20 to 24 years","Total, marital status of mother","Percentage of live births","Percentage","242","units","0","v21401370","1.4.1.2","100.0","","","","1"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, 20 to 24 years","Marital status of mother, single (never married)","Number of live births","Number","223","units","0","v21401371","1.4.2.1","26646","","","","0"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, 20 to 24 years","Marital status of mother, single (never married)","Percentage of live births","Percentage","242","units","0","v21401372","1.4.2.2","46.1","","","","1"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, 20 to 24 years","Marital status of mother, married","Number of live births","Number","223","units","0","v21401373","1.4.3.1","18426","","","","0"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, 20 to 24 years","Marital status of mother, married","Percentage of live births","Percentage","242","units","0","v21401374","1.4.3.2","31.9","","","","1"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, 20 to 24 years","Marital status of mother, widowed","Number of live births","Number","223","units","0","v21401375","1.4.4.1","15","","","","0"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, 20 to 24 years","Marital status of mother, widowed","Percentage of live births","Percentage","242","units","0","v21401376","1.4.4.2","0.0","","","","1"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, 20 to 24 years","Marital status of mother, divorced","Number of live births","Number","223","units","0","v21401377","1.4.5.1","126","","","","0"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, 20 to 24 years","Marital status of mother, divorced","Percentage of live births","Percentage","242","units","0","v21401378","1.4.5.2","0.2","","","","1"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, 20 to 24 years","Marital status of mother, separated","Number of live births","Number","223","units","0","v21401379","1.4.6.1","176","","","","0"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, 20 to 24 years","Marital status of mother, separated","Percentage of live births","Percentage","242","units","0","v21401380","1.4.6.2","0.3","","","","1"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, 20 to 24 years","Marital status of mother, not stated","Number of live births","Number","223","units","0","v21401381","1.4.7.1","12389","","","","0"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, 20 to 24 years","Marital status of mother, not stated","Percentage of live births","Percentage","242","units","0","v21401382","1.4.7.2","21.4","","","","1"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, 25 to 29 years","Total, marital status of mother","Number of live births","Number","223","units","0","v21401383","1.5.1.1","116878","","","","0"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, 25 to 29 years","Total, marital status of mother","Percentage of live births","Percentage","242","units","0","v21401384","1.5.1.2","100.0","","","","1"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, 25 to 29 years","Marital status of mother, single (never married)","Number of live births","Number","223","units","0","v21401385","1.5.2.1","33865","","","","0"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, 25 to 29 years","Marital status of mother, single (never married)","Percentage of live births","Percentage","242","units","0","v21401386","1.5.2.2","29.0","","","","1"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, 25 to 29 years","Marital status of mother, married","Number of live births","Number","223","units","0","v21401387","1.5.3.1","69548","","","","0"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, 25 to 29 years","Marital status of mother, married","Percentage of live births","Percentage","242","units","0","v21401388","1.5.3.2","59.5","","","","1"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, 25 to 29 years","Marital status of mother, widowed","Number of live births","Number","223","units","0","v21401389","1.5.4.1","28","","","","0"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, 25 to 29 years","Marital status of mother, widowed","Percentage of live births","Percentage","242","units","0","v21401390","1.5.4.2","0.0","","","","1"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, 25 to 29 years","Marital status of mother, divorced","Number of live births","Number","223","units","0","v21401391","1.5.5.1","682","","","","0"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, 25 to 29 years","Marital status of mother, divorced","Percentage of live births","Percentage","242","units","0","v21401392","1.5.5.2","0.6","","","","1"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, 25 to 29 years","Marital status of mother, separated","Number of live births","Number","223","units","0","v21401393","1.5.6.1","372","","","","0"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, 25 to 29 years","Marital status of mother, separated","Percentage of live births","Percentage","242","units","0","v21401394","1.5.6.2","0.3","","","","1"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, 25 to 29 years","Marital status of mother, not stated","Number of live births","Number","223","units","0","v21401395","1.5.7.1","12383","","","","0"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, 25 to 29 years","Marital status of mother, not stated","Percentage of live births","Percentage","242","units","0","v21401396","1.5.7.2","10.6","","","","1"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, 30 to 34 years","Total, marital status of mother","Number of live births","Number","223","units","0","v21401397","1.6.1.1","120734","","","","0"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, 30 to 34 years","Total, marital status of mother","Percentage of live births","Percentage","242","units","0","v21401398","1.6.1.2","100.0","","","","1"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, 30 to 34 years","Marital status of mother, single (never married)","Number of live births","Number","223","units","0","v21401399","1.6.2.1","22737","","","","0"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, 30 to 34 years","Marital status of mother, single (never married)","Percentage of live births","Percentage","242","units","0","v21401400","1.6.2.2","18.8","","","","1"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, 30 to 34 years","Marital status of mother, married","Number of live births","Number","223","units","0","v21401401","1.6.3.1","87819","","","","0"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, 30 to 34 years","Marital status of mother, married","Percentage of live births","Percentage","242","units","0","v21401402","1.6.3.2","72.7","","","","1"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, 30 to 34 years","Marital status of mother, widowed","Number of live births","Number","223","units","0","v21401403","1.6.4.1","53","","","","0"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, 30 to 34 years","Marital status of mother, widowed","Percentage of live births","Percentage","242","units","0","v21401404","1.6.4.2","0.0","","","","1"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, 30 to 34 years","Marital status of mother, divorced","Number of live births","Number","223","units","0","v21401405","1.6.5.1","1243","","","","0"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, 30 to 34 years","Marital status of mother, divorced","Percentage of live births","Percentage","242","units","0","v21401406","1.6.5.2","1.0","","","","1"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, 30 to 34 years","Marital status of mother, separated","Number of live births","Number","223","units","0","v21401407","1.6.6.1","428","","","","0"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, 30 to 34 years","Marital status of mother, separated","Percentage of live births","Percentage","242","units","0","v21401408","1.6.6.2","0.4","","","","1"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, 30 to 34 years","Marital status of mother, not stated","Number of live births","Number","223","units","0","v21401409","1.6.7.1","8454","","","","0"
"2009","Canada, place of residence of mother","2016A000011124","Age of mother, 30 to 34 years","Marital status of mother, not stated","Percentage of live births","Percentage","242","units","0","v21401410","1.6.7.2","7.0","","","","1"
